ad_format,page_position,device_type,clutter_score,time_in_view_sec,scroll_velocity,domain_quality_score,attention_score,conversion
Banner,Bottom,Desktop,7.415552031175952,8.523262926845067,66.85422190607088,4.18412690816703,16.07832413867329,0
Rich Media,Top,Desktop,8.811018750963168,0.7848468569495993,100.47774033607473,95.01954076480584,44.12353766848105,0
Native,Middle,Desktop,4.63179875379001,14.636985653440204,47.99737011398758,54.036032441247336,67.00738441710484,0
Video,Bottom,Desktop,2.8917873167340757,9.26468989554432,6.047912117915288,64.63793541401513,71.33877583885113,1
Banner,Middle,Desktop,3.188465743554615,12.557483147557695,78.50694713698456,53.08981472917927,50.55052783811074,0
Banner,Bottom,Desktop,6.969482583643939,1.6818720554134243,25.649651348748876,73.86254646904004,28.490612701025217,0
Banner,Sidebar,Desktop,5.675580339914962,2.044128285764107,59.212393802216134,89.75446607339559,23.918323842798706,0
Native,Top,Desktop,4.864941309772571,3.173687963962931,60.758051328135494,99.37855277368203,90.3116696165916,0
Video,Bottom,Mobile,2.0277407877617404,1.2693069159469275,52.52308186944979,36.36415423147885,21.380529266298645,0
Native,Top,Desktop,8.754556874989033,3.1313936511363427,7.328274247286934,51.949231762232436,52.304190798179796,0
Banner,Middle,Tablet,7.810204475074061,0.04622141297798994,42.73707599633629,88.35088779475883,20.890483093267243,0
Rich Media,Top,Mobile,1.406386017392296,10.499714161913401,18.609443730664022,43.56743834004989,88.71130731544514,0
Native,Top,Mobile,3.6738845460213665,0.8854406165513963,59.07465749618887,35.89910804431775,32.008510083141346,0
Banner,Middle,Tablet,5.421320936388914,3.4742213881589197,32.29739497787138,96.89417881274272,57.715589506029254,0
Banner,Middle,Desktop,4.54338622771532,13.213173093431882,7.517253254414598,73.19196889382688,55.64285666110679,0
Banner,Sidebar,Desktop,3.9779583873773836,8.601359752936999,64.2324192327268,50.69949867252331,24.407644720251156,0
Banner,Bottom,Desktop,7.188318975605293,7.483327669281502,24.652811495546327,79.59148631021802,25.06133839949325,0
Video,Sidebar,Desktop,0.5450350423783745,4.649991758794858,52.69290208747433,31.899535443686577,61.318263626040235,0
Video,Bottom,Desktop,4.714103391259419,2.8659302456914197,35.26145804499134,58.921560310444676,40.81189693327419,0
Banner,Top,Mobile,2.621816903896014,2.953290256292992,67.35811740673634,71.07338184365196,41.24194587313222,0
Video,Middle,Desktop,0.8461838523475895,0.45490862201527993,66.52396536151974,71.59546821339727,79.58564942634635,0
Banner,Middle,Tablet,4.648871580029655,0.3348992553458542,54.758792762655006,19.57972504769333,17.60538968416516,0
Banner,Middle,Mobile,1.7136869107056873,9.27153248017281,47.85130979507163,99.4735838686486,50.46367317160069,0
Banner,Bottom,Mobile,2.5822428189020865,2.626753752604956,41.184570620015414,75.39629218815077,15.16492678316593,0
Video,Bottom,Desktop,5.070087295100759,0.27764836209066507,25.90086441629986,74.30141006696564,40.11476491578004,0
Native,Middle,Mobile,9.737089799328215,5.439167063157468,38.23685363604392,58.58882145831282,27.94129567969304,0
Banner,Top,Desktop,6.842550068035559,5.749039525683656,59.567807441415546,34.28154192357936,25.583206156301845,0
Video,Top,Desktop,2.7962179815682475,1.2902303344249924,89.09203352515212,48.86429695681499,47.972057246200926,1
Video,Top,Mobile,3.824060525753765,2.6442656508167683,61.41846201635229,42.58502192172337,69.35743155431811,0
Banner,Top,Desktop,4.061331523209772,4.259824469932625,64.30021651208342,11.455053318489083,26.043775674020303,0
Video,Bottom,Desktop,1.5363762334437714,4.535190418039986,47.8436774232985,92.47644340424279,65.87096675341455,0
Banner,Top,Mobile,1.6065418885968075,3.5781449929509264,60.52534460599679,50.76463604144119,32.09374376184008,1
Banner,Bottom,Desktop,1.4839472348736449,2.2643283220979367,7.042950646828629,4.311712646981758,11.815455986917367,0
Rich Media,Middle,Mobile,5.216641377369169,0.35651372515944935,35.56224556355875,41.94717476578022,21.763320472572566,0
Rich Media,Top,Mobile,6.741860867397083,0.11267823066392393,64.07336388245594,42.05841704249027,19.87218674032136,0
Native,Sidebar,Desktop,5.9072068461082665,3.0766245711692095,64.43198506645275,8.662380920649893,11.812283873821565,0
Banner,Bottom,Mobile,9.777671854533486,1.1341433336061533,39.13303400748751,19.58310875191327,4.2256814140561225,0
Banner,Top,Tablet,1.2587457225765186,13.942683719737396,23.83258893808033,7.77655195098167,57.54292479756421,0
Video,Sidebar,Desktop,9.864744063027551,5.11405150781224,48.580072344469066,16.030985674987043,22.055051160182643,0
Video,Top,Desktop,4.666739338878919,4.403509444792746,41.31096268199241,11.448078749084278,61.987217985236185,0
Banner,Top,Mobile,2.186327877771377,2.609027179142498,68.81229346447745,90.23551494424004,56.34130351843546,1
Video,Bottom,Mobile,9.432808260057572,1.9988462468419836,64.06609929776165,77.59894383039926,23.816285883453777,0
Banner,Bottom,Mobile,4.686133101445926,0.9910838910156354,80.98031513231577,87.28659122262894,23.665014685511927,0
Rich Media,Top,Desktop,3.473469552105204,0.3101381664536203,72.20911850592782,13.854770109244562,30.183675832718603,0
Banner,Top,Desktop,2.138101038179566,5.032412744700453,44.517916014275755,66.92907917038514,49.641578293695424,0
